genres,spoken_languages,title,vote_average
"['Horror', 'Action', 'Thriller', 'Crime']","['English', 'Español']",From Dusk Till Dawn,6.9
"['Action', 'Thriller', 'Romance']","['English', 'Español']",Fair Game,4.1
"['Comedy', 'Drama', 'Romance']",['English'],Kicking and Screaming,7.0
"['Drama', 'History']",['Français'],Les Miserables,6.6
"['Drama', 'Romance']",['English'],Bed of Roses,5.1
"['Comedy', 'Family']",['English'],Big Bully,3.9
"['Horror', 'Science Fiction']",['English'],Screamers,6.1
['Documentary'],"['Deutsch', 'English']",Nico Icon,7.3
"['Drama', 'Thriller']",['English'],The Crossing Guard,6.1
"['Drama', 'Thriller']",['English'],The Juror,5.5
"['Family', 'Drama']",['فارسی'],The White Balloon,7.5
"['Drama', 'Crime']",['English'],Things to Do in Denver When You're Dead,6.7
"['Drama', 'Comedy']",['Nederlands'],Antonia's Line,7.2
"['Romance', 'Drama']",['English'],Once Upon a Time... When We Were Colored,4.5
[],[],Last Summer in the Hamptons,0.0
"['Drama', 'Romance']",['English'],Angels and Insects,6.3
"['Action', 'Drama']","['Dansk', 'English', 'Français', 'Deutsch']",White Squall,6.3
"['Adventure', 'Comedy', 'Family']","['English', 'Français', 'Pусский']",Dunston Checks In,5.1
['Comedy'],['English'],Black Sheep,6.0
"['Crime', 'Drama', 'Thriller']",['English'],Nick of Time,6.1
['Drama'],['English'],The Journey of August King,6.7
"['Drama', 'Horror', 'Thriller', 'Romance']",['English'],Mary Reilly,5.7
"['Comedy', 'Horror', 'Romance']",['English'],Vampire in Brooklyn,4.5
"['Comedy', 'Drama', 'Romance']",['English'],Beautiful Girls,6.6
"['Action', 'Adventure', 'Drama', 'Thriller']",['English'],Broken Arrow,5.7
['Comedy'],['English'],A Midwinter's Tale,7.5
['Drama'],['Français'],La Haine,7.9
"['Action', 'Adventure', 'Drama', 'Science Fiction', 'Thriller']",['English'],Shopping,5.6
['Documentary'],['English'],Heidi Fleiss: Hollywood Madam,6.8
"['Drama', 'Thriller']",['English'],City Hall,6.0
"['Comedy', 'Crime', 'Drama']","['Español', 'English']",Bottle Rocket,6.8
"['Comedy', 'Romance']",['English'],Mr. Wrong,3.3
"['Drama', 'Mystery', 'Science Fiction', 'Thriller']",['English'],Unforgettable,5.3
['Comedy'],['English'],Happy Gilmore,6.5
"['Drama', 'Romance']",['English'],The Bridges of Madison County,7.3
"['Drama', 'Comedy', 'Family']",['Deutsch'],Nobody Loves Me,5.1
"['Action', 'Comedy', 'Music', 'Family', 'Adventure']",['English'],Muppet Treasure Island,6.5
['Documentary'],['English'],Catwalk,7.0
['Crime'],[],Headless Body in Topless Bar,0.0
"['Action', 'Drama', 'History', 'War']","['English', 'Français', 'Latin', '']",Braveheart,7.7
"['Crime', 'Drama']","['English', 'Español']",Taxi Driver,8.1
"['Crime', 'Action', 'Comedy', 'Thriller']","['广州话 / 廣州話', 'English']",Rumble in the Bronx,6.5
"['Drama', 'Thriller']","['English', 'Français', 'Deutsch']",Before and After,5.8
['Drama'],['English'],Margaret's Museum,7.5
['Comedy'],['Français'],Happiness Is in the Field,7.0
"['Documentary', 'Drama', 'Foreign']",['English'],Anne Frank Remembered,7.3
"['Comedy', 'Crime', 'Drama']",['English'],The Young Poisoner's Handbook,6.9
"['Comedy', 'Romance']",['English'],If Lucy Fell,5.4
"['Comedy', 'Drama']",['English'],Steal Big Steal Little,5.1
"['Action', 'Adventure', 'Comedy', 'Drama', 'Family']",['English'],Race the Sun,5.2
['Drama'],['English'],The Boys of St. Vincent,7.0
"['Comedy', 'Romance']","['Français', 'English']",Boomerang,5.4
"['Drama', 'Comedy', 'Romance']","['广州话 / 廣州話', 'English', '日本語', '普通话']",Chungking Express,7.9
"['Drama', 'Romance']",['Italiano'],The Star Maker,6.8
"['Comedy', 'Romance']",['English'],Flirting with Disaster,6.3
['Fantasy'],['English'],The Neverending Story III: Escape from Fantasia,4.4
['Drama'],"['العربية', 'Français']",The Silences of the Palace,4.3
[],[],Jupiter's Wife,0.0
"['Comedy', 'Romance']",['English'],Pie in the Sky,7.0
"['Comedy', 'Drama']",['English'],Angela,5.6
"['Drama', 'Romance', 'War']",['English'],Frankie Starlight,5.4
"['Action', 'Thriller', 'Mystery', 'Romance']",['English'],Jade,5.1
"['Comedy', 'Drama', 'Romance']",['Español'],Nueba Yol,5.5
"['Music', 'Documentary']",['English'],Sonic Outlaws,0.0
['Comedy'],['English'],Down Periscope,5.6
['Documentary'],['English'],From the Journals of Jean Seberg,6.5
['Comedy'],['English'],Man of the Year,3.8
['Drama'],['English'],The Neon Bible,7.2
[],[],Target,0.0
"['Drama', 'Romance']",['Français'],Up Close & Personal,5.9
['Comedy'],"['English', 'Français']",The Birdcage,6.7
['Drama'],"['English', 'Hrvatski', 'Bosanski']",Virgin Mary,7.0
"['Comedy', 'Drama', 'Romance']",['English'],The Brothers McMullen,6.3
"['Action', 'Comedy', 'Crime', 'Thriller']",['English'],Bad Boys,6.5
"['Action', 'Adventure', 'Drama', 'Family']",['Deutsch'],The Amazing Panda Adventure,5.0
"['Drama', 'Crime']",['English'],The Basketball Diaries,7.2
"['Romance', 'Drama', 'Comedy']",['English'],An Awfully Big Adventure,6.0
"['Crime', 'Comedy', 'Drama', 'Thriller']",['English'],Amateur,6.5
['Drama'],['English'],Apollo 13,7.3
['Adventure'],['English'],Rob Roy,6.5
"['Drama', 'Horror']",['English'],The Addiction,6.4
"['Action', 'Crime', 'Fantasy']",['English'],Batman Forever,5.2
"['Drama', 'Romance']","['Français', '', 'Español']",Belle de Jour,7.3
"['Drama', 'Thriller']",['English'],Beyond Rangoon,6.4
['Comedy'],['English'],Blue in the Face,6.8
"['Action', 'Comedy']",['English'],Canadian Bacon,5.9
"['Fantasy', 'Comedy', 'Family']",['English'],Casper,6.0
"['Mystery', 'Crime', 'Drama']",['English'],Clockers,6.8
"['Action', 'Adventure', 'Drama', 'Mystery', 'Science Fiction', 'Thriller']","['English', 'Français']",Congo,5.0
"['Action', 'Thriller', 'Drama']",['English'],Crimson Tide,7.0
['Documentary'],['English'],Crumb,7.6
"['Thriller', 'Action', 'Crime']",['English'],Desperado,6.8
"['Drama', 'Mystery', 'Thriller']",['English'],Devil in a Blue Dress,6.3
"['Action', 'Thriller']","['English', 'Deutsch', 'Română']",Die Hard: With a Vengeance,6.9
"['Action', 'Comedy', 'Crime', 'Drama']",['English'],The Doom Generation,5.6
"['Drama', 'Crime']",['English'],Feast of July,0.0
"['Action', 'Adventure', 'Drama', 'Romance']","['English', 'Français']",First Knight,5.9
['Adventure'],"['English', 'Bahasa indonesia', 'Bahasa melayu']",Free Willy 2 - The Adventure Home,5.5
"['Action', 'Crime', 'Thriller', 'Drama']","['English', 'Italiano', '日本語', 'Pусский']",Hackers,6.2
"['Comedy', 'Drama', 'Romance']","['English', 'Français']",Jeffrey,6.5
"['Adventure', 'Action', 'Drama', 'Science Fiction', 'Thriller']","['English', '日本語']",Johnny Mnemonic,5.5
['Science Fiction'],['English'],Judge Dredd,5.4
"['Comedy', 'Drama']",['English'],Jury Duty,4.0
"['Drama', 'Crime']",['English'],Kids,6.8
"['Drama', 'Comedy']",['English'],Living in Oblivion,7.2
"['Mystery', 'Horror', 'Thriller']",['English'],Lord of Illusions,5.9
"['Comedy', 'Drama']",['English'],Love & Human Remains,7.0
"['Drama', 'Family', 'Romance']",['English'],Mad Love,5.5
"['Romance', 'Comedy']",['English'],Mallrats,6.8
"['Action', 'Adventure', 'Science Fiction', 'Family', 'Fantasy']",['English'],Mighty Morphin Power Rangers: The Movie,5.2
"['Comedy', 'Drama', 'Romance']",['English'],Moonlight and Valentino,5.6
"['Thriller', 'Foreign']","['Pусский', 'English']",Mute Witness,6.4
"['Horror', 'Thriller']","['Deutsch', 'English']",Nadja,5.9
"['Crime', 'Drama', 'Mystery', 'Thriller', 'Action']","['English', 'Español']",The Net,5.6
['Comedy'],"['English', 'Pусский']",Nine Months,5.5
['Comedy'],['English'],Party Girl,5.8
"['Fantasy', 'Horror', 'Thriller']",['English'],The Prophecy,6.4
"['Fantasy', 'Comedy', 'Drama']",['English'],Reckless,10.0
['Drama'],['English'],Safe,7.2
"['Drama', 'History', 'Romance']",['English'],The Scarlet Letter,5.5
['Drama'],['English'],Showgirls,4.9
"['Comedy', 'Drama']",['English'],Smoke,7.2
['Comedy'],['English'],Something to Talk About,5.7
"['Science Fiction', 'Horror', 'Action']",['English'],Species,5.5
['Drama'],"['Magyar', 'English']",The Stars Fell on Henrietta,6.6
"['Crime', 'Drama', 'Science Fiction', 'Thriller']",['English'],Strange Days,6.8
"['Drama', 'Romance']",['Français'],The Umbrellas of Cherbourg,7.6
['Thriller'],['English'],The Tie That Binds,4.6
"['Drama', 'Fantasy']",['English'],Three Wishes,6.1
"['Drama', 'Romance']",['English'],Total Eclipse,6.5
['Comedy'],"['English', 'Español']","To Wong Foo, Thanks for Everything! Julie Newmar",6.3
"['Action', 'Thriller']",['English'],Under Siege 2: Dark Territory,5.6
"['Comedy', 'Drama', 'Family']",['English'],Unstrung Heroes,6.4
['Documentary'],['English'],Unzipped,6.0
"['Drama', 'Romance']",['English'],A Walk in the Clouds,6.5
"['Adventure', 'Action']","['English', 'Deutsch', 'Español']",Waterworld,5.9
['Drama'],['English'],White Man's Burden,5.1
"['Action', 'Western']","['广州话 / 廣州話', 'English']",Wild Bill,5.9
['Drama'],['English'],The Browning Version,6.0
"['Adventure', 'Action', 'Comedy', 'Crime', 'Family']","['English', 'Deutsch']",Bushwhacked,4.9
['Drama'],['Pусский'],Burnt by the Sun,6.7
"['Drama', 'War']","['shqip', 'English', '']",Before the Rain,7.7
"['Drama', 'Romance']","['English', 'Deutsch', 'Français']",Before Sunrise,7.7
['Comedy'],"['Français', 'Español', 'English']",Billy Madison,6.2
"['Drama', 'Thriller']",['English'],The Babysitter,4.7
"['Comedy', 'Drama']",['English'],Boys on the Side,6.3
"['Drama', 'Family']",['English'],The Cure,7.2
"['Thriller', 'Drama', 'Horror', 'Mystery']","['English', 'Italiano', 'svenska']",Castle Freak,5.8
"['Drama', 'Family', 'Romance']",['English'],Circle of Friends,6.5
['Comedy'],['English'],Clerks,7.4
"['Romance', 'Drama', 'Comedy']",['English'],Don Juan DeMarco,6.3
"['Drama', 'Thriller', 'Crime', 'Mystery', 'Romance']",['English'],Disclosure,5.9
['Thriller'],['English'],Dream Man,2.5
"['Action', 'Adventure', 'Thriller']",['English'],Drop Zone,5.1
"['Crime', 'Comedy', 'Fantasy']",['English'],Destiny Turns on the Radio,5.3
"['Drama', 'Thriller', 'Mystery']",['English'],Death and the Maiden,7.1
"['Crime', 'Drama', 'Mystery']",['English'],Dolores Claiborne,7.1
['Comedy'],['English'],Dumb and Dumber,6.5
"['Comedy', 'Drama', 'Romance']",['普通话'],Eat Drink Man Woman,7.5
"['Drama', 'Mystery']","['English', 'עִבְרִית']",Exotica,6.5
"['Thriller', 'Comedy', 'Crime', 'Romance']",['English'],Exit to Eden,4.3
"['Comedy', 'Drama', 'History']",['English'],Ed Wood,7.3
"['Comedy', 'Romance']","['Français', 'English']",French Kiss,6.2
"['Comedy', 'Drama', 'Romance']",['English'],Forget Paris,6.1
"['Action', 'Adventure', 'Drama', 'Family']",['English'],Far from Home: The Adventures of Yellow Dog,5.6
"['Romance', 'Animation', 'Family', 'Comedy', 'Adventure']",['English'],A Goofy Movie,6.7
"['Drama', 'Thriller']",['English'],Hideaway,5.0
"['Drama', 'Family', 'Fantasy']",['English'],Fluke,6.6
"['History', 'Drama']",['Français'],Farinelli,5.9
"['Drama', 'Family', 'Fantasy']",['English'],Gordy,3.0
"['Fantasy', 'Animation', 'Science Fiction', 'Family']",['English'],Gumby: The Movie,5.0
"['Drama', 'Action', 'Thriller', 'Crime']",['English'],The Glass Shield,5.4
['Documentary'],['English'],Hoop Dreams,7.7
"['Drama', 'Fantasy']",['English'],Heavenly Creatures,6.9
"['Comedy', 'Family']","['English', 'Pусский']",Houseguest,6.0
"['Drama', 'Music', 'Romance']",['English'],Immortal Beloved,6.9
"['Comedy', 'Family', 'Drama']",['English'],Heavyweights,6.0
"['Action', 'Thriller']","['English', 'Français', 'Deutsch']",The Hunted,6.0
"['Comedy', 'Drama', 'Romance']","['English', 'Deutsch']",I.Q.,5.9
"['Horror', 'Romance']","['English', 'Français']",Interview with the Vampire,7.2
"['Drama', 'Romance']",['English'],Jefferson in Paris,5.2
"['Comedy', 'Crime']",['English'],The Jerky Boys,4.8
"['Comedy', 'Family', 'Romance']",['English'],Junior,4.7
"['Action', 'Drama', 'Mystery', 'Thriller']",['English'],Just Cause,6.0
"['Adventure', 'Fantasy', 'Comedy', 'Science Fiction', 'Family']",['English'],A Kid in King Arthur's Court,4.3
"['Action', 'Crime', 'Drama', 'Thriller']",['English'],Kiss of Death,5.7
"['Adventure', 'Action', 'Science Fiction']",['English'],Star Wars,8.1
"['Drama', 'Romance']","['English', 'Deutsch', 'Français']",Little Women,7.0
"['Drama', 'Family', 'Fantasy']","['English', 'Français']",A Little Princess,7.4
['Drama'],['English'],Ladybird Ladybird,7.4
"['Crime', 'Drama']",['Français'],L'Enfer,6.6
"['Drama', 'Romance']","['English', 'Español']",Like Water for Chocolate,6.6
"['Adventure', 'Drama', 'Romance', 'War']","['', 'English']",Legends of the Fall,7.2
"['Adventure', 'Comedy', 'Family']",['English'],Major Payne,6.1
"['Action', 'Drama']",['English'],Little Odessa,6.4
"['Crime', 'Drama']","['English', 'Español']",Mi Vida Loca,5.7
"['Drama', 'Romance']",['English'],Love Affair,4.3
['Drama'],['English'],Losing Isaiah,6.4
"['Comedy', 'Drama', 'History']",['English'],The Madness of King George,6.7
"['Drama', 'Horror', 'Science Fiction', 'Romance']",['English'],Mary Shelley's Frankenstein,6.1
"['Action', 'Comedy', 'Family']",['English'],Man of the House,5.1
"['Comedy', 'Drama', 'Romance']",['English'],Mixed Nuts,5.2
"['Comedy', 'Romance']",['English'],Milk Money,5.6
"['Fantasy', 'Drama', 'Family']",['English'],Miracle on 34th Street,6.4
"['Comedy', 'Romance']",['English'],Miami Rhapsody,5.6
"['Comedy', 'Drama']","['English', 'Español']",My Family,7.0
"['Crime', 'Drama']",['English'],Murder in the First,6.9
"['Drama', 'Comedy']","['Český', 'English', 'Magyar']",Nobody's Fool,7.0
"['Drama', 'Thriller']",['English'],Nell,6.1
"['Crime', 'Drama']",['English'],New Jersey Drive,6.9
"['Action', 'Thriller', 'Crime', 'Drama']","['English', '广州话 / 廣州話']",New York Cop,0.0
['Horror'],['English'],Beyond Bedlam,4.0
"['Science Fiction', 'Action', 'Thriller']",['English'],Nemesis 2 - Nebula,4.6
"['Drama', 'Romance']",['English'],Nina Takes a Lover,7.4
"['Crime', 'Thriller', 'Drama']","['English', '', '日本語']",Natural Born Killers,6.9
"['Comedy', 'Drama', 'Romance']",['English'],Only You,6.4
['Drama'],"['English', '']",Once Were Warriors,7.6
"['Drama', 'Romance', 'Thriller']",['English'],Poison Ivy II: Lily,4.6
"['Action', 'Drama', 'Science Fiction', 'Thriller']","['English', '한국어/조선말', 'Français']",Outbreak,6.4
"['Thriller', 'Crime', 'Drama']",['English'],Leon: The Professional,8.2
"['Comedy', 'Drama', 'Romance']",['English'],The Perez Family,6.6
"['Comedy', 'Drama', 'Romance']",['English'],A Pyromaniac's Love Story,7.0
"['Thriller', 'Crime']","['English', 'Español', 'Français']",Pulp Fiction,8.3
['Drama'],['English'],Panther,6.4
"['Comedy', 'Drama']","['English', '普通话']",Pushing Hands,6.1
"['Drama', 'Romance']",['English'],Priest,6.4
"['History', 'Drama']",['English'],Quiz Show,7.1
"['Drama', 'History']","['', 'English', '日本語']",Picture Bride,7.4
"['Drama', 'History']","['Français', 'Italiano']",Queen Margot,7.0
"['Action', 'Western']",['English'],The Quick and the Dead,6.2
"['Drama', 'Comedy']","['Français', 'Italiano', 'Pусский', 'Español', 'English']",Prêt-à-Porter,5.3
"['Drama', 'Mystery', 'Romance']",['Français'],Three Colors: Red,7.8
"['Drama', 'Music', 'Mystery']","['Français', 'Polski']",Three Colors: Blue,7.7
"['Comedy', 'Drama', 'Mystery']","['Français', 'Magyar', 'Polski']",Three Colors: White,7.3
['Drama'],['普通话'],"Red Firecracker, Green Firecracker",7.0
"['Comedy', 'Family', 'TV Movie']",['English'],Rent-a-Kid,5.1
"['Horror', 'Drama']",['English'],Relative Fear,4.7
"['Comedy', 'Drama']",['English'],Stuart Saves His Family,5.0
['Animation'],['English'],The Swan Princess,6.5
"['Drama', 'Family', 'Fantasy']","['English', 'Gaeilge']",The Secret of Roan Inish,6.1
"['Action', 'Thriller']",['English'],The Specialist,5.5
"['Action', 'Adventure', 'Science Fiction']","['English', 'Norsk', 'svenska']",Stargate,6.8
"['Fantasy', 'Drama', 'Comedy', 'Family']",['English'],The Santa Clause,6.3
"['Drama', 'Crime']",['English'],The Shawshank Redemption,8.5
"['Crime', 'Thriller']",['English'],Shallow Grave,7.0
"['Drama', 'Thriller']",['English'],Suture,6.0
"['Comedy', 'Drama']",['Español'],Strawberry and Chocolate,7.1
"['Crime', 'Comedy']",['English'],Swimming with Sharks,6.7
"['Comedy', 'Drama', 'Romance']",['English'],The Sum of Us,6.0
['Comedy'],"['English', 'Deutsch']",Senior Trip,5.7
"['Drama', 'Romance', 'War']",['普通话'],To Live,7.7
"['Action', 'Comedy', 'Fantasy', 'Science Fiction']",['English'],Tank Girl,5.5
"['Horror', 'Comedy', 'Thriller']",['English'],Tales from the Crypt: Demon Knight,6.7
"['Science Fiction', 'Action', 'Adventure', 'Thriller']",['English'],Star Trek: Generations,6.4
"['Crime', 'Horror', 'Thriller']",['English'],Tales from the Hood,5.4
"['Drama', 'Romance']",['English'],Tom & Viv,5.8
"['Thriller', 'Horror', 'Science Fiction']",['English'],Village of the Damned,5.6
['Comedy'],['English'],Tommy Boy,6.8
"['Drama', 'Romance']",['English'],Vanya on 42nd Street,6.1
"['Thriller', 'Crime']",['English'],The Underneath,5.6
"['Drama', 'War']",['English'],The Walking Dead,6.6
"['Romance', 'Drama']",['English'],What's Eating Gilbert Grape,7.5
"['Action', 'Crime', 'Science Fiction', 'Thriller']",['English'],Virtuosity,5.4
"['Comedy', 'Drama', 'Romance']",['English'],While You Were Sleeping,6.5
['Drama'],['English'],The War,6.3
"['Comedy', 'Romance']","['广州话 / 廣州話', 'English']",Double Happiness,5.5
"['Drama', 'Comedy', 'Romance']",['English'],Muriel's Wedding,6.9
"['Comedy', 'Drama', 'Family']",['English'],The Baby-Sitters Club,5.3
"['Comedy', 'Mystery']",['English'],Ace Ventura: Pet Detective,6.4
"['Drama', 'Comedy']",['English'],"The Adventures of Priscilla, Queen of the Desert",7.2
"['Drama', 'Music']","['English', 'Français', 'Deutsch', 'Pусский']",Backbeat,6.2
"['Thriller', 'Drama', 'Romance']","['Français', 'English']",Bitter Moon,7.0
"['Action', 'Comedy', 'Thriller']",['English'],Bullets Over Broadway,7.0
"['Action', 'Drama', 'Thriller']",['English'],Clear and Present Danger,6.4
"['Drama', 'Thriller', 'Crime', 'Mystery']",['English'],The Client,6.4
"['Comedy', 'Drama', 'Family', 'Romance']","['English', 'Français']","Corrina, Corrina",6.4
"['Comedy', 'Drama']",['English'],Crooklyn,6.7
"['Fantasy', 'Action', 'Thriller']",['English'],The Crow,7.3
['Drama'],['English'],Cobb,6.1
"['Fantasy', 'Comedy', 'Family']",['English'],The Flintstones,5.0
"['Comedy', 'Drama', 'Romance']",['English'],Forrest Gump,8.2
"['Comedy', 'Drama', 'Romance']",['English'],Four Weddings and a Funeral,6.6
"['Romance', 'Drama', 'Crime']",['English'],Higher Learning,6.4
"['Comedy', 'Drama', 'Romance']","['English', 'Español']",I Like It Like That,6.3
"['Action', 'Comedy', 'Romance']","['English', 'Français']",I Love Trouble,5.3
"['Comedy', 'Drama', 'Romance']",['English'],It Could Happen to You,6.1
"['Adventure', 'Drama', 'Family']","['English', 'Slovenčina']",The Jungle Book,5.9
"['Documentary', 'Foreign']",['Deutsch'],"The Wonderful, Horrible Life of Leni Riefenstahl",7.3
"['Family', 'Animation', 'Drama']",['English'],The Lion King,8.0
"['Drama', 'History']",['English'],Little Buddha,6.0
"['Horror', 'Thriller', 'Mystery', 'Fantasy']",['English'],New Nightmare,6.4
"['Romance', 'Comedy', 'Crime', 'Fantasy']","['svenska', 'English']",The Mask,6.6
"['Action', 'Adventure', 'Comedy', 'Drama', 'Western']",['English'],Maverick,6.6
['Drama'],['English'],Mrs. Parker and the Vicious Circle,6.3
"['Comedy', 'Crime']",['English'],The Naked Gun 33⅓: The Final Insult,6.4
"['Comedy', 'Drama']",['English'],The Paper,6.1
['Drama'],['English'],Reality Bites,6.5
"['Crime', 'Drama', 'Thriller']",['English'],Red Rock West,6.4
"['Comedy', 'Family']","['English', 'Latin']",Ri¢hie Ri¢h,5.4
['Drama'],['English'],Safe Passage,4.9
"['Action', 'Adventure', 'Crime', 'Thriller']",['English'],The River Wild,6.1
"['Action', 'Adventure', 'Crime']",['English'],Speed,6.8
"['Comedy', 'Romance']",['English'],Speechless,5.5
"['Thriller', 'Science Fiction', 'Action', 'Crime']",['English'],Timecop,5.5
"['Action', 'Thriller']","['English', 'Français', 'العربية', 'Deutsch']",True Lies,6.8
"['Drama', 'Romance']","['English', 'Français', 'Tiếng Việt']",When a Man Loves a Woman,6.0
['Fantasy'],['English'],Wolf,6.0
"['Drama', 'Action', 'Western']",['English'],Wyatt Earp,6.5
"['Action', 'Crime', 'Romance', 'Thriller']",['English'],Bad Company,4.9
"['Comedy', 'Drama']",['English'],A Man of No Importance,6.5
"['Comedy', 'Drama']",['English'],S.F.W.,6.1
"['Action', 'Comedy', 'Crime']",['English'],A Low Down Dirty Shame,6.0
['Drama'],['English'],"Boys Life: Three Stories of Love, Lust, and Liberation",2.0
['Drama'],['Français'],Colonel Chabert,5.9
"['Action', 'Crime']",['English'],"Faster, Pussycat! Kill! Kill!",6.5
"['Crime', 'Drama', 'Romance']",['English'],Jason's Lyric,5.9
"['Animation', 'Science Fiction']",['English'],The Secret Adventures of Tom Thumb,7.1
"['Action', 'Adventure', 'Thriller']","['English', '日本語']",Street Fighter,4.1
"['Action', 'Comedy']",['English'],Coldblooded,6.7
[],[],Desert Winds,0.0
"['Action', 'Adventure', 'Crime', 'Drama', 'Thriller']",['English'],Fall Time,6.3
"['Horror', 'Thriller']",['English'],The Fear,3.4
['Documentary'],[],Frank and Ollie,7.5
"['Romance', 'Adventure', 'Crime', 'Drama']",['English'],Girl in the Cadillac,10.0
"['Thriller', 'Drama']",['English'],Homage,0.0
"['Action', 'Thriller']",['English'],Mirage,4.0
['Comedy'],['English'],Open Season,0.0
[],[],Dos Crímenes,5.0
['Documentary'],[],Brother Minister: The Assassination of Malcolm X,4.0
"['Action', 'Fantasy', 'Science Fiction']",['English'],Highlander: The Final Dimension,4.5
[],[],Federal Hill,5.0
